Shop_id,Lng,Lat,shop_class
S152,121.40071,31.32178,83
S153,121.40206,31.23149,45
S154,121.40445,31.20608,63
S155,121.4047,31.21251,45
S156,121.40519,31.23973,45
S157,121.40574,31.16138,24
S158,121.4062,31.21311,45
S159,121.40675,31.11574,94
S160,121.40706,31.15953,24
S161,121.40781,31.23153,45
S162,121.40811,31.21319,45
S163,121.40843,31.18371,63
S164,121.40908,31.23106,45
S165,121.40913,31.23236,45
S166,121.40944,31.23428,45
S167,121.40964,31.2436,81
S168,121.41011,31.01502,37
S169,121.41077,31.22713,45
S170,121.4108,31.22774,45
S171,121.41095,31.2453,81
S172,121.4112,31.16726,24
S173,121.41123,31.1691,24
S174,121.41208,31.21257,45
S175,121.41218,31.10035,58
S176,121.41302,31.17188,24
S177,121.41303,31.19915,46
S178,121.41308,31.20581,46
S179,121.41338,31.14613,94
S180,121.4135,31.1691,24
S181,121.41352,31.13797,94
S182,121.41378,31.20105,46
S183,121.41435,31.20022,46
S184,121.41451,31.23697,81
S185,121.41505,31.13701,94
S186,121.41522,31.27042,43
S187,121.41526,31.2076,46
S188,121.41547,31.20738,46
S189,121.41593,31.20774,46
S190,121.41613,31.13719,94
S191,121.41648,31.01381,37
S192,121.41733,31.1614,24
S193,121.41741,31.17183,24
S194,121.41777,31.2012,46
S195,121.41809,31.2365,81
S196,121.41838,31.13791,94
S197,121.41864,31.208,46
S198,121.41865,31.20147,46
S199,121.41899,31.13726,94
S200,121.41909,31.19145,46
S201,121.41917,31.1625,24
S202,121.41939,31.162,24
S203,121.41942,31.16187,24
S204,121.41986,31.01651,37
S205,121.42064,31.20483,46
S206,121.42135,31.23381,81
S207,121.42148,31.21509,3
S208,121.42161,31.23377,81
S209,121.42215,31.23222,81
S210,121.42257,31.21623,3
S211,121.42283,31.14511,94
S212,121.42292,31.21482,3
S213,121.42349,31.17749,24
S214,121.42351,31.25057,101
S215,121.42354,31.20958,3
S216,121.42412,31.19494,46
S217,121.42416,31.20752,46
S218,121.42448,31.2649,43
S219,121.42516,31.22589,3
S220,121.42537,31.2647,43
S221,121.42552,31.18647,24
S222,121.42609,31.14059,94
S223,121.42614,31.14569,94
S224,121.42616,31.14564,94
S225,121.42618,31.14584,94
S226,121.42626,31.14018,94
S227,121.42626,31.14025,94
S228,121.4263,31.14014,94
S229,121.42634,31.1458,94
S230,121.42674,31.2453,81
S231,121.42792,31.01633,37
S232,121.42797,31.16592,24
S233,121.42839,31.19474,46
S234,121.42845,31.19689,46
S235,121.42853,31.19719,46
S236,121.42886,31.01445,37
S237,121.42908,31.22278,3
S238,121.42915,31.20653,46
S239,121.42918,31.20663,46
S240,121.42932,31.01672,37
S241,121.42941,31.28463,43
S242,121.42942,31.24686,10
S243,121.42958,31.01679,37
S244,121.43083,31.28953,83
S245,121.43093,31.28455,83
S246,121.43108,31.13546,96
S247,121.43124,31.02343,37
S248,121.43144,31.1497,94
S249,121.43196,31.13725,96
S250,121.43196,31.20843,3
S251,121.43234,31.2165,3
S252,121.43235,31.01903,37
S253,121.43306,31.01278,37
S254,121.4333,31.23549,121
S255,121.43347,31.14309,94
S256,121.43373,31.22643,3
S257,121.43471,31.21599,3
S258,121.43481,31.22009,3
S259,121.43604,31.22512,3
S260,121.43635,31.22068,3
S261,121.43651,31.02597,37
S262,121.43652,31.18852,46
S263,121.43709,31.15035,94
S264,121.43796,31.17662,24
S265,121.43849,31.24515,10
S266,121.43855,31.32115,36
S267,121.43866,31.18916,46
S268,121.43941,31.22199,3
S269,121.43944,31.22566,121
S270,121.43974,31.27128,43
S271,121.44114,31.28757,83
S272,121.44248,31.1769,50
S273,121.44258,31.23412,121
S274,121.44267,31.15634,14
S275,121.44334,31.15607,14
S276,121.44338,31.24153,121
S277,121.44396,31.17057,14
S278,121.44535,31.17057,50
S279,121.4456,31.32542,36
S280,121.44574,31.33514,16
S281,121.44577,31.22292,121
S282,121.44596,31.19405,107
S283,121.44619,31.20077,107
S284,121.44638,31.19349,107
S285,121.44663,31.324,36
S286,121.44674,31.3239,36
S287,121.44708,31.12661,86
S288,121.4488,31.29898,83
S289,121.44917,31.27009,2
S290,121.44986,31.25758,10
S291,121.45017,31.03475,37
S292,121.4504,31.22866,121
S293,121.45104,31.18458,107
S294,121.45137,31.32968,36
S295,121.45156,31.28303,2
S296,121.45228,31.24918,121
S297,121.45289,31.03215,23
S298,121.45468,31.19914,107
S299,121.4548,31.21934,98
S300,121.45483,31.21929,98
S301,121.4558,31.04124,23
S302,121.45586,31.20353,107
S303,121.45589,31.3084,36
S304,121.45691,31.21989,98
S305,121.45796,31.27217,2
S306,121.45986,31.2024,107
S307,121.46005,31.03582,23
S308,121.46029,31.26144,2
S309,121.46039,31.2571,2
S310,121.4614,31.27443,2
S311,121.46178,31.20827,107
S312,121.4618,31.20055,107
S313,121.46213,31.19816,107
S314,121.46363,31.04444,23
S315,121.46631,31.2619,84
S316,121.46757,31.26544,84
S317,121.46782,31.22167,98
S318,121.46817,31.24417,80
S319,121.4699,31.25912,84
S320,121.47036,31.22562,98
S321,121.47146,31.19795,15
S322,121.47244,31.32033,54
S323,121.4737,31.23039,115
S324,121.47615,31.25225,80
S325,121.47734,31.23619,115
S326,121.47765,31.22363,98
S327,121.47863,31.23372,115
S328,121.47866,31.26724,84
S329,121.47957,31.27404,118
S330,121.47985,31.26607,84
S331,121.48033,31.28466,118
S332,121.48046,31.21357,15
S333,121.48059,31.20086,15
S334,121.48106,31.21361,15
S335,121.48203,31.26577,1
S336,121.48306,31.25494,73
S337,121.48355,31.23446,115
S338,121.48428,31.31144,54
S339,121.48524,31.2823,118
S340,121.48575,31.27932,118
S341,121.48651,31.30221,54
S342,121.48667,31.21646,41
S343,121.48723,30.91444,20
S344,121.48765,31.20438,15
S345,121.49081,31.27956,1
S346,121.49084,31.29562,93
S347,121.49135,31.29349,93
S348,121.49148,31.33195,76
S349,121.49267,31.28067,122
S350,121.49276,31.20665,41
S351,121.49554,31.29474,93
S352,121.49607,31.17008,25
S353,121.49616,31.29481,93
S354,121.49622,31.17447,25
S355,121.49661,31.22528,41
S356,121.4976,31.20809,41
S357,121.49832,31.16489,25
S358,121.49953,31.27624,122
S359,121.50016,31.27599,122
S360,121.50079,31.30097,93
S361,121.50084,31.17073,25
S362,121.50176,31.31619,93
S363,121.5018,31.2752,122
S364,121.50202,30.82997,20
S365,121.50286,31.26263,122
S366,121.50366,31.29426,93
S367,121.50457,31.30128,93
S368,121.505,31.14132,25
S369,121.5053,31.29518,93
S370,121.5056,31.27716,40
S371,121.506,30.83713,20
S372,121.50621,30.83431,20
S373,121.50623,31.29476,93
S374,121.50623,31.29489,93
S375,121.5064,31.29453,93
S376,121.50652,31.29448,93
S377,121.50659,31.29463,93
S378,121.50672,31.27681,40
S379,121.50681,31.29458,93
S380,121.50749,31.30034,93
S381,121.50759,31.29069,93
S382,121.50904,31.28123,40
S383,121.50906,30.83875,20
S384,121.5095,31.19503,41
S385,121.50955,31.29782,93
S386,121.50991,31.23652,4
S387,121.51004,31.19413,25
S388,121.51036,31.29003,93
S389,121.51094,30.82949,20
S390,121.51122,31.29067,93
S391,121.51191,31.2809,40
S392,121.51309,31.28875,57
S393,121.51332,31.29093,93
S394,121.5134,31.236,4
S395,121.5136,31.23212,65
S396,121.51363,31.15766,25
S397,121.51386,31.28822,57
S398,121.51416,31.29082,57
S399,121.51437,31.19235,25
S400,121.51497,31.30339,93
S401,121.51498,31.23585,65
S402,121.51505,31.20838,65
S403,121.51516,31.30344,93
S404,121.51554,31.23718,4
S405,121.51585,31.23646,65
S406,121.51617,31.30199,93
S407,121.51624,31.30366,93
S408,121.51639,31.27635,40
S409,121.51644,31.29056,57
S410,121.51647,31.23002,65
S411,121.51693,31.26671,40
S412,121.51758,31.23649,65
S413,121.5179,31.23396,65
S414,121.5181,31.22264,65
S415,121.51811,31.22196,65
S416,121.51844,31.23703,65
S417,121.52081,31.30977,93
S418,121.52089,31.32104,42
S419,121.52092,31.2241,65
S420,121.52144,31.23813,65
S421,121.52229,31.22457,65
S422,121.52265,31.30917,93
S423,121.5227,31.23589,65
S424,121.52281,31.30927,93
S425,121.52293,31.22744,65
S426,121.52302,31.21429,65
S427,121.52308,31.23604,65
S428,121.52357,31.25693,92
S429,121.52371,31.25704,92
S430,121.5243,31.21929,65
S431,121.52616,30.83278,20
S432,121.52655,31.28176,57
S433,121.52772,31.23119,65
S434,121.52777,31.23115,65
S435,121.52781,31.23111,65
S436,121.53094,31.21215,65
S437,121.53102,31.21458,65
S438,121.53311,31.32478,42
S439,121.53324,31.18262,25
S440,121.53488,31.19942,65
S441,121.53512,31.18295,25
S442,121.53683,31.29525,104
S443,121.5373,31.29562,104
S444,121.5379,31.14579,28
S445,121.53845,31.32403,42
S446,121.53863,31.27163,88
S447,121.53981,31.24479,92
S448,121.54142,31.24166,92
S449,121.54143,31.28182,104
S450,121.54193,31.24069,92
S451,121.54256,31.28571,104
S452,121.54317,31.20263,65
S453,121.54373,31.20254,65
S454,121.54395,31.23764,92
S455,121.54741,31.18345,56
S456,121.5475,31.24256,92
S457,121.54795,31.24207,92
S458,121.54857,31.29019,104
S459,121.54865,31.28928,104
S460,121.54885,31.28953,11
S461,121.55011,31.28955,11
S462,121.55149,31.29025,11
S463,121.55366,31.20912,56
S464,121.55367,31.28554,11
S465,121.55368,31.23295,111
S466,121.55444,31.19972,56
S467,121.55475,31.28619,11
S468,121.55507,31.25474,111
S469,121.5577,31.25365,111
S470,121.55971,31.27465,11
S471,121.55998,31.2509,111
S472,121.56157,31.24847,111
S473,121.56681,31.26281,89
S474,121.56888,31.226,56
S475,121.56987,31.26556,89
S476,121.56988,31.24112,111
S477,121.57035,31.24123,111
S478,121.5713,31.26513,89
S479,121.57139,31.26069,89
S480,121.57171,31.26646,89
S481,121.57191,31.15754,28
S482,121.57466,31.24592,111
S483,121.57774,31.16631,33
S484,121.58129,31.24806,111
S485,121.58263,31.26632,89
S486,121.58375,31.19981,33
S487,121.58604,31.2505,111
S488,121.58865,31.26966,89
S489,121.58897,31.25039,89
S490,121.58992,31.19381,33
S491,121.59012,31.19296,33
S492,121.59024,31.1903,33
S493,121.59056,31.19232,33
S494,121.59067,31.19191,33
S495,121.59129,31.26541,89
S496,121.59362,31.19107,33
S497,121.59443,31.19116,33
S498,121.59444,31.19177,33
S499,121.59477,31.19024,33
S500,121.59479,31.19017,33
S501,121.59532,31.20014,33
S502,121.59538,31.19119,33
S503,121.59579,31.25683,89
S504,121.59603,31.25677,89
S505,121.59737,31.2634,89
S506,121.59786,31.25439,89
S507,121.59804,31.19201,33
S508,121.60742,31.26372,89
S509,121.6076,31.2642,89
S510,121.60979,31.28027,34
S511,121.60984,31.28141,34
S512,121.61022,31.28284,34
S513,121.61044,31.28134,34
S514,121.6128,31.21631,72
S515,121.61298,31.20221,72
S516,121.61429,31.20529,72
S517,121.61479,31.19967,72
S518,121.6156,31.20223,72
S519,121.61606,31.20389,72
S520,121.61635,31.20363,72
S521,121.61717,31.21779,72
S522,121.62076,31.20271,72
S523,121.62116,31.20328,72
S524,121.62214,31.21902,72
S525,121.6239,31.22045,72
S526,121.63069,31.1797,72
S527,121.63071,31.17924,72
S528,121.63078,31.17822,72
S529,121.63192,31.19865,72
S530,121.63291,31.19929,72
S531,121.63313,31.19956,72
S532,121.63342,31.19951,72
S533,121.63635,31.20232,72
S534,121.63671,31.20242,72
S535,121.63794,31.20299,79
S536,121.63807,31.21757,79
S537,121.65461,31.27041,7
S538,121.65605,31.26744,7
S539,121.65685,31.27648,7
S540,121.65717,31.26252,7
S541,121.65747,31.27604,7
S542,121.6577,31.2728,7
S543,121.65773,31.2613,7
S544,121.65833,31.27422,7
S545,121.6585,31.27468,7
S546,121.65893,31.27355,7
S547,121.65904,31.27311,7
S548,121.67259,31.23416,7
S549,121.69451,31.19704,26
S550,121.75535,31.04231,18
S551,121.76306,31.04689,18
S552,121.76318,31.05107,18
S553,121.77481,31.04315,99
S554,121.77641,31.04935,99
S555,121.78078,31.04896,99
S556,121.78327,31.04844,99
S557,121.78351,31.04649,99
S558,121.784,31.04809,99
S559,121.78407,31.04582,99
S560,121.78464,31.04573,99
S561,121.78464,31.048,99
S562,121.7847,31.04818,99
S563,121.78477,31.04673,99
S564,121.78487,31.04806,99
S565,121.78487,31.04819,99
S566,121.78488,31.04783,99
S567,121.78493,31.04969,99
S568,121.78499,31.04798,99
S569,121.78499,31.04828,99
S570,121.78509,31.04606,99
S571,121.78521,31.04611,99
S572,121.7853,31.04779,99
S573,121.7855,31.04777,99
S574,121.78552,31.04594,99
S575,121.78564,31.04889,99
S576,121.78724,31.05068,99
S577,121.8964,30.88195,99
S578,121.89876,30.87946,99
S579,121.89883,30.87923,99
S580,121.89939,30.87997,99
S581,121.8996,30.88025,99
S582,121.90014,30.8797,99
S583,121.90036,30.87839,99
S584,121.90044,30.87929,99
S585,121.90046,30.87555,99
S586,121.90048,30.88014,99
S587,121.9009,30.88006,99
S588,121.90104,30.88016,99
S589,121.90128,30.87981,99
S590,121.90128,30.88052,99
S591,121.90163,30.88054,99
S592,121.90188,30.88081,99
S593,121.90201,30.88062,99
S594,121.90208,30.88019,99
S595,121.90218,30.88104,99
S596,121.90238,30.88173,99
S597,121.91226,30.88021,99
S598,121.91946,30.8845,99
