Order_id,Spot_id,Shop_id,Num,Lng_shop,Lat_shop,Lng_spot,Lat_spot,start_time,end_time,shop_class,spot_class
E0149,B1036,S014,1,121.19773,31.04975,121.204124,31.050911,414,504,116,116
E0152,B1548,S014,1,121.19773,31.04975,120.875702,31.119118,343,433,116,75
E0155,B2477,S014,1,121.19773,31.04975,121.417244,31.226173,222,312,116,45
E0158,B3058,S014,1,121.19773,31.04975,121.229614,31.832016,562,652,116,66
E0161,B3341,S014,1,121.19773,31.04975,121.199493,31.050938,533,623,116,116
E0164,B0434,S014,2,121.19773,31.04975,121.217018,31.049732,255,345,116,116
E0167,B0434,S014,1,121.19773,31.04975,121.217018,31.049732,610,700,116,116
E0170,B5710,S014,3,121.19773,31.04975,121.1959,31.050434,253,343,116,116
E0173,B5710,S014,1,121.19773,31.04975,121.1959,31.050434,553,643,116,116
E0176,B6315,S014,1,121.19773,31.04975,121.202805,31.050377,599,689,116,116
E0179,B7861,S014,1,121.19773,31.04975,121.19046,31.051914,605,695,116,116
E0182,B3341,S015,1,121.1982,31.04958,121.199493,31.050938,264,354,116,116
E0185,B3341,S015,1,121.1982,31.04958,121.199493,31.050938,564,654,116,116
E0188,B0064,S015,1,121.1982,31.04958,121.197929,31.050875,293,383,116,116
E0191,B1036,S016,2,121.19868,31.04957,121.204124,31.050911,300,390,116,116
E0194,B1412,S016,1,121.19868,31.04957,121.1894,31.053415,283,373,116,116
E0200,B1548,S016,4,121.19868,31.04957,120.875702,31.119118,404,494,116,75
E0209,B3009,S016,1,121.19868,31.04957,121.39743,31.206272,509,599,116,63
E0212,B3058,S016,2,121.19868,31.04957,121.229614,31.832016,542,632,116,66
E0215,B3062,S016,2,121.19868,31.04957,121.209389,31.050249,386,476,116,116
E0218,B3062,S016,1,121.19868,31.04957,121.209389,31.050249,623,713,116,116
E0221,B3341,S016,4,121.19868,31.04957,121.199493,31.050938,248,338,116,116
E0224,B3341,S016,6,121.19868,31.04957,121.199493,31.050938,284,374,116,116
E0227,B3341,S016,1,121.19868,31.04957,121.199493,31.050938,335,425,116,116
E0230,B3341,S016,14,121.19868,31.04957,121.199493,31.050938,493,583,116,116
E0233,B3341,S016,2,121.19868,31.04957,121.199493,31.050938,549,639,116,116
E0236,B3341,S016,2,121.19868,31.04957,121.199493,31.050938,597,687,116,116
E0239,B3481,S016,1,121.19868,31.04957,121.187263,31.05117,521,611,116,108
E0242,B3960,S016,1,121.19868,31.04957,121.299438,31.433102,232,322,116,12
E0245,B0434,S016,1,121.19868,31.04957,121.217018,31.049732,221,311,116,116
E0248,B0434,S016,2,121.19868,31.04957,121.217018,31.049732,269,359,116,116
E0251,B0434,S016,1,121.19868,31.04957,121.217018,31.049732,329,419,116,116
E0254,B0434,S016,13,121.19868,31.04957,121.217018,31.049732,427,517,116,116
E0257,B0434,S016,1,121.19868,31.04957,121.217018,31.049732,458,548,116,116
E0260,B0434,S016,3,121.19868,31.04957,121.217018,31.049732,567,657,116,116
E0263,B0434,S016,1,121.19868,31.04957,121.217018,31.049732,602,692,116,116
E0266,B4765,S016,5,121.19868,31.04957,121.218231,31.046228,545,635,116,116
E0269,B5143,S016,1,121.19868,31.04957,121.198265,31.045639,249,339,116,116
E0272,B5143,S016,1,121.19868,31.04957,121.198265,31.045639,372,462,116,116
E0275,B5143,S016,1,121.19868,31.04957,121.198265,31.045639,501,591,116,116
E0278,B5710,S016,2,121.19868,31.04957,121.1959,31.050434,252,342,116,116
E0281,B5710,S016,2,121.19868,31.04957,121.1959,31.050434,299,389,116,116
E0284,B5710,S016,1,121.19868,31.04957,121.1959,31.050434,433,523,116,116
E0287,B5710,S016,1,121.19868,31.04957,121.1959,31.050434,547,637,116,116
E0290,B5710,S016,3,121.19868,31.04957,121.1959,31.050434,610,700,116,116
E0293,B0064,S016,1,121.19868,31.04957,121.197929,31.050875,218,308,116,116
E0296,B0064,S016,3,121.19868,31.04957,121.197929,31.050875,265,355,116,116
E0299,B0064,S016,2,121.19868,31.04957,121.197929,31.050875,310,400,116,116
E0302,B6315,S016,1,121.19868,31.04957,121.202805,31.050377,212,302,116,116
E0305,B6315,S016,5,121.19868,31.04957,121.202805,31.050377,303,393,116,116
E0308,B6315,S016,6,121.19868,31.04957,121.202805,31.050377,468,558,116,116
E0311,B6350,S016,1,121.19868,31.04957,121.21508,31.050501,248,338,116,116
E0314,B6350,S016,1,121.19868,31.04957,121.21508,31.050501,539,629,116,116
E0317,B6449,S016,2,121.19868,31.04957,121.223541,31.03047,282,372,116,116
E0323,B7768,S016,1,121.19868,31.04957,121.2873,30.695353,275,365,116,61
E0326,B8851,S016,1,121.19868,31.04957,121.205635,31.057669,211,301,116,116
E0329,B8905,S016,1,121.19868,31.04957,121.228607,31.006319,601,691,116,116
E0332,B0305,S017,1,121.19943,31.04968,121.229424,31.057896,230,320,116,9
E0335,B3341,S017,1,121.19943,31.04968,121.199493,31.050938,281,371,116,116
E0338,B3341,S017,1,121.19943,31.04968,121.199493,31.050938,543,633,116,116
E0341,B3481,S017,2,121.19943,31.04968,121.187263,31.05117,252,342,116,108
E0344,B0434,S017,2,121.19943,31.04968,121.217018,31.049732,268,358,116,116
E0347,B5710,S017,1,121.19943,31.04968,121.1959,31.050434,296,386,116,116
E0350,B6315,S017,1,121.19943,31.04968,121.202805,31.050377,595,685,116,116
E0356,B3058,S018,1,121.19945,31.0497,121.229614,31.832016,472,562,116,66
E0359,B3341,S018,1,121.19945,31.0497,121.199493,31.050938,236,326,116,116
E0362,B3341,S018,1,121.19945,31.0497,121.199493,31.050938,563,653,116,116
E0368,B0434,S018,1,121.19945,31.0497,121.217018,31.049732,317,407,116,116
E0371,B4765,S018,1,121.19945,31.0497,121.218231,31.046228,580,670,116,116
E0374,B5710,S018,1,121.19945,31.0497,121.1959,31.050434,311,401,116,116
E0377,B5710,S018,1,121.19945,31.0497,121.1959,31.050434,623,713,116,116
E0380,B0064,S018,1,121.19945,31.0497,121.197929,31.050875,597,687,116,116
E0386,B0434,S019,3,121.19951,31.0494,121.217018,31.049732,434,524,116,116
E0389,B3341,S020,3,121.1997,31.04956,121.199493,31.050938,454,544,116,116
E0392,B6315,S020,3,121.1997,31.04956,121.202805,31.050377,571,661,116,116
E0395,B1036,S021,2,121.19971,31.04985,121.204124,31.050911,245,335,116,116
E0398,B1036,S021,3,121.19971,31.04985,121.204124,31.050911,603,693,116,116
E0401,B0148,S021,1,121.19971,31.04985,121.544319,31.283875,228,318,116,104
E0404,B1548,S021,2,121.19971,31.04985,120.875702,31.119118,534,624,116,75
E0410,B2860,S021,1,121.19971,31.04985,121.211632,31.059235,228,318,116,116
E0413,B2860,S021,3,121.19971,31.04985,121.211632,31.059235,589,679,116,116
E0416,B2875,S021,3,121.19971,31.04985,121.218597,31.055817,599,689,116,116
E0419,B3058,S021,1,121.19971,31.04985,121.229614,31.832016,247,337,116,66
E0425,B3062,S021,1,121.19971,31.04985,121.209389,31.050249,508,598,116,116
E0428,B3341,S021,2,121.19971,31.04985,121.199493,31.050938,222,312,116,116
E0431,B3341,S021,5,121.19971,31.04985,121.199493,31.050938,285,375,116,116
E0434,B3341,S021,2,121.19971,31.04985,121.199493,31.050938,393,483,116,116
E0437,B3341,S021,1,121.19971,31.04985,121.199493,31.050938,483,573,116,116
E0440,B3341,S021,1,121.19971,31.04985,121.199493,31.050938,536,626,116,116
E0446,B3569,S021,1,121.19971,31.04985,121.197113,31.054916,348,438,116,116
E0449,B3960,S021,3,121.19971,31.04985,121.299438,31.433102,215,305,116,12
E0452,B3960,S021,1,121.19971,31.04985,121.299438,31.433102,371,461,116,12
E0455,B0434,S021,1,121.19971,31.04985,121.217018,31.049732,236,326,116,116
E0458,B0434,S021,1,121.19971,31.04985,121.217018,31.049732,316,406,116,116
E0464,B0434,S021,1,121.19971,31.04985,121.217018,31.049732,605,695,116,116
E0473,B5710,S021,1,121.19971,31.04985,121.1959,31.050434,508,598,116,116
E0485,B6315,S021,1,121.19971,31.04985,121.202805,31.050377,495,585,116,116
E0500,B6540,S021,1,121.19971,31.04985,121.001007,30.836681,256,346,116,30
E0503,B7229,S021,1,121.19971,31.04985,121.265106,31.017986,252,342,116,112
E0506,B7375,S021,1,121.19971,31.04985,121.208687,31.054615,327,417,116,116
E0509,B7768,S021,1,121.19971,31.04985,121.2873,30.695353,251,341,116,61
E0512,B7768,S021,2,121.19971,31.04985,121.2873,30.695353,570,660,116,61
E0515,B8851,S021,1,121.19971,31.04985,121.205635,31.057669,466,556,116,116
E0521,B3341,S022,1,121.19988,31.05158,121.199493,31.050938,218,308,116,116
E0527,B0064,S022,6,121.19988,31.05158,121.197929,31.050875,343,433,116,116
E0536,B6540,S023,1,121.20014,31.05208,121.001007,30.836681,270,360,116,30
E0542,B5710,S024,1,121.20035,31.05107,121.1959,31.050434,425,515,116,116
E0551,B3341,S025,1,121.2004,31.04909,121.199493,31.050938,235,325,116,116
E0557,B3481,S025,1,121.2004,31.04909,121.187263,31.05117,614,704,116,108
E0566,B7861,S025,1,121.2004,31.04909,121.19046,31.051914,218,308,116,116
E0572,B2875,S026,1,121.20042,31.0517,121.218597,31.055817,295,385,116,116
E0581,B3341,S026,1,121.20042,31.0517,121.199493,31.050938,459,549,116,116
E0587,B3960,S026,1,121.20042,31.0517,121.299438,31.433102,237,327,116,12
E0602,B6315,S026,1,121.20042,31.0517,121.202805,31.050377,218,308,116,116
E0608,B6540,S026,1,121.20042,31.0517,121.001007,30.836681,250,340,116,30
E0614,B7861,S026,1,121.20042,31.0517,121.19046,31.051914,219,309,116,116
E0617,B2461,S027,2,121.20048,31.04954,121.197189,31.779171,462,552,116,66
E0629,B3341,S028,1,121.20054,31.04952,121.199493,31.050938,534,624,116,116
E0632,B5710,S028,2,121.20054,31.04952,121.1959,31.050434,217,307,116,116
E0635,B6278,S028,2,121.20054,31.04952,121.567444,31.725246,262,352,116,31
E0638,B6540,S028,6,121.20054,31.04952,121.001007,30.836681,295,385,116,30
E0647,B3058,S030,3,121.20062,31.0497,121.229614,31.832016,310,400,116,66
E0662,B5710,S030,1,121.20062,31.0497,121.1959,31.050434,525,615,116,116
E0677,B8851,S030,1,121.20062,31.0497,121.205635,31.057669,511,601,116,116
E0689,B3960,S033,2,121.20081,31.04038,121.299438,31.433102,223,313,116,12
E0707,B1412,S036,2,121.20154,31.04963,121.1894,31.053415,222,312,116,116
E0725,B6315,S037,2,121.20169,31.05123,121.202805,31.050377,211,301,116,116
E0731,B6315,S037,1,121.20169,31.05123,121.202805,31.050377,441,531,116,116
E0746,B6315,S038,1,121.20173,31.05006,121.202805,31.050377,220,310,116,116
E0758,B3058,S039,1,121.20251,31.04982,121.229614,31.832016,262,352,116,66
E0770,B3341,S039,1,121.20251,31.04982,121.199493,31.050938,416,506,116,116
E0776,B0434,S039,1,121.20251,31.04982,121.217018,31.049732,600,690,116,116
E0791,B8851,S039,1,121.20251,31.04982,121.205635,31.057669,450,540,116,116
E0794,B3062,S040,1,121.20252,31.04941,121.209389,31.050249,491,581,116,116
E0797,B6278,S040,1,121.20252,31.04941,121.567444,31.725246,468,558,116,31
E0815,B0148,S043,2,121.20314,31.04951,121.544319,31.283875,580,670,116,104
E0821,B2860,S043,1,121.20314,31.04951,121.211632,31.059235,222,312,116,116
E0824,B3062,S043,2,121.20314,31.04951,121.209389,31.050249,214,304,116,116
E0860,B0064,S043,2,121.20314,31.04951,121.197929,31.050875,449,539,116,116
E0863,B6315,S043,1,121.20314,31.04951,121.202805,31.050377,425,515,116,116
E0875,B7861,S043,2,121.20314,31.04951,121.19046,31.051914,360,450,116,116
E0884,B1760,S045,2,121.20338,31.05147,121.275291,31.110199,475,565,116,35
E0887,B2860,S045,3,121.20338,31.05147,121.211632,31.059235,228,318,116,116
E0890,B3009,S045,1,121.20338,31.05147,121.39743,31.206272,238,328,116,63
E0902,B3960,S045,1,121.20338,31.05147,121.299438,31.433102,309,399,116,12
E0920,B6350,S045,1,121.20338,31.05147,121.21508,31.050501,377,467,116,116
E0923,B6540,S045,2,121.20338,31.05147,121.001007,30.836681,497,587,116,30
E0947,B0434,S047,1,121.20346,31.0494,121.217018,31.049732,375,465,116,116
E0956,B2860,S048,1,121.20355,31.0496,121.211632,31.059235,257,347,116,116
E0962,B6315,S048,2,121.20355,31.0496,121.202805,31.050377,366,456,116,116
E0983,B2860,S050,1,121.20362,31.04989,121.211632,31.059235,451,541,116,116
E0989,B4765,S050,5,121.20362,31.04989,121.218231,31.046228,437,527,116,116
E0995,B6315,S050,1,121.20362,31.04989,121.202805,31.050377,497,587,116,116
E1013,B6315,S052,1,121.20374,31.04933,121.202805,31.050377,352,442,116,116
E1034,B5143,S054,2,121.20435,31.04987,121.198265,31.045639,477,567,116,116
E1049,B6540,S054,11,121.20435,31.04987,121.001007,30.836681,497,587,116,30
E1055,B7768,S054,3,121.20435,31.04987,121.2873,30.695353,285,375,116,61
E1073,B3058,S056,1,121.20539,31.04976,121.229614,31.832016,329,419,116,66
E1091,B1548,S059,1,121.20878,31.04958,120.875702,31.119118,522,612,116,75
E1094,B0291,S059,1,121.20878,31.04958,121.472488,31.233086,576,666,116,98
E1115,B2875,S061,1,121.20997,31.0494,121.218597,31.055817,615,705,116,116
E1118,B3341,S061,1,121.20997,31.0494,121.199493,31.050938,210,300,116,116
E1130,B0305,S062,2,121.21083,31.04189,121.229424,31.057896,629,719,116,9
E1151,B2461,S064,1,121.21514,31.04986,121.197189,31.779171,312,402,116,66
E1154,B2860,S064,1,121.21514,31.04986,121.211632,31.059235,500,590,116,116
E1157,B2860,S064,1,121.21514,31.04986,121.211632,31.059235,611,701,116,116
E1160,B2875,S064,1,121.21514,31.04986,121.218597,31.055817,555,645,116,116
E1163,B2875,S064,2,121.21514,31.04986,121.218597,31.055817,575,665,116,116
E1199,B6540,S064,2,121.21514,31.04986,121.001007,30.836681,335,425,116,30
E1208,B2860,S065,2,121.21523,31.05095,121.211632,31.059235,478,568,116,116
E1232,B0595,S066,1,121.21598,31.28769,121.216782,31.285625,571,661,105,105
E1238,B2860,S068,2,121.21701,31.04957,121.211632,31.059235,629,719,116,116
E1265,B2299,S069,1,121.21711,31.03825,121.214943,31.038059,551,641,116,116
E1301,B2875,S073,2,121.2186,31.04959,121.218597,31.055817,553,643,116,116
E1307,B4012,S073,1,121.2186,31.04959,121.220497,31.049629,210,300,116,116
E1349,B4995,S074,16,121.21942,31.04942,121.226181,31.054743,369,459,116,9
E1352,B4365,S075,1,121.22734,31.05438,121.229935,31.054401,298,388,9,9
E1355,B5920,S077,6,121.23031,31.05501,121.230957,31.06086,487,577,9,9
E1358,B6492,S078,8,121.23052,31.10895,121.230751,31.109438,599,689,9,9
E1364,B2247,S082,2,121.23317,31.06296,121.235298,31.058435,291,381,9,9
E1367,B0376,S083,1,121.23635,31.10705,121.252274,31.106329,257,347,9,35
E1370,B5228,S084,3,121.23874,31.10803,121.231941,31.111341,586,676,9,9
E1373,B1033,S085,2,121.24137,31.05876,121.24176,31.059116,324,414,9,9
E1376,B6540,S085,4,121.24137,31.05876,121.001007,30.836681,271,361,9,30
E1379,B0273,S086,3,121.24325,31.3668,121.235703,31.374361,345,435,12,12
E1382,B0049,S086,3,121.24325,31.3668,121.249977,31.377104,582,672,12,12
E1385,B8595,S086,2,121.24325,31.3668,121.246208,31.378229,538,628,12,12
E1388,B5223,S088,1,121.26076,31.11676,121.263931,31.111771,322,412,35,35
E1391,B0447,S090,2,121.26988,31.11459,121.26963,31.114132,233,323,35,35
E1394,B4735,S091,6,121.31378,31.15121,121.291992,31.177902,521,611,102,35
E1397,B2198,S092,4,121.3163,31.13522,121.294395,31.167295,597,687,102,35
E1400,B0670,S093,1,121.31659,31.13394,121.31736,31.132875,347,437,102,102
E1403,B4127,S095,3,121.33522,31.138,121.341637,31.144609,246,336,102,102
E1406,B6540,S097,3,121.34388,31.14317,121.001007,30.836681,294,384,5,30
E1409,B5791,S098,4,121.34431,31.14264,121.345879,31.141001,583,673,5,5
E1412,B2408,S099,4,121.35184,31.23055,121.354271,31.231003,251,341,47,47
E1415,B2408,S099,3,121.35184,31.23055,121.354271,31.231003,290,380,47,47
E1421,B6369,S099,1,121.35184,31.23055,121.350121,31.232597,270,360,47,47
E1424,B6369,S099,1,121.35184,31.23055,121.350121,31.232597,364,454,47,47
E1427,B4127,S100,2,121.35196,31.14712,121.341637,31.144609,235,325,5,102
E1433,B3438,S101,2,121.3604,31.21922,121.360916,31.219116,312,402,69,69
E1436,B3438,S101,1,121.3604,31.21922,121.360916,31.219116,368,458,69,69
E1439,B6540,S101,4,121.3604,31.21922,121.001007,30.836681,292,382,69,30
E1442,B6540,S101,1,121.3604,31.21922,121.001007,30.836681,455,545,69,30
E1445,B3133,S102,1,121.36153,31.21914,121.37674,31.209843,533,623,69,85
E1448,B2410,S103,4,121.36386,31.21772,121.366463,31.228888,549,639,69,69
E1451,B8930,S103,2,121.36386,31.21772,121.649162,30.945873,482,572,69,38
E1454,B2408,S105,15,121.36514,31.21764,121.354271,31.231003,234,324,69,47
E1457,B4277,S105,9,121.36514,31.21764,121.385681,31.221172,289,379,69,69
E1460,B1066,S106,2,121.36571,31.31626,121.389198,31.310402,597,687,29,27
E1463,B0246,S106,2,121.36571,31.31626,121.386459,31.311884,509,599,29,27
E1466,B8714,S106,1,121.36571,31.31626,121.386475,31.314816,256,346,29,27
E1469,B3584,S107,2,121.36813,31.21628,121.369911,31.201256,534,624,69,85
E1475,B5104,S108,2,121.37251,31.21636,121.373734,31.217962,262,352,69,69
E1478,B0539,S108,2,121.37251,31.21636,121.360016,31.204529,579,669,69,85
E1484,B2460,S110,3,121.37263,31.21546,121.380829,31.222061,429,519,85,69
E1490,B3807,S111,2,121.37445,31.31413,121.377289,31.315683,380,470,29,29
E1493,B8400,S111,3,121.37445,31.31413,121.374817,31.313686,390,480,29,29
E1496,B8714,S111,3,121.37445,31.31413,121.386475,31.314816,398,488,29,27
E1499,B6346,S112,3,121.37481,31.21621,121.380272,31.217703,305,395,69,69
E1502,B5282,S114,3,121.37751,31.09796,121.380829,31.102091,373,463,39,39
E1505,B5534,S116,1,121.37851,31.31437,121.24929,31.379934,267,357,29,12
E1514,B4580,S121,2,121.38224,31.2035,121.471733,31.229086,245,335,85,98
E1517,B9160,S122,2,121.38452,31.25031,121.437286,31.237457,284,374,69,121
E1520,B2100,S124,1,121.38536,31.31972,121.38887,31.316866,519,609,27,27
E1523,B9207,S124,1,121.38536,31.31972,121.388962,31.308622,224,314,27,27
E1526,B3647,S125,2,121.38573,31.32033,121.403183,31.327442,337,427,27,16
E1529,B2010,S128,2,121.38651,31.21246,121.383453,31.212044,610,700,85,85
E1532,B1066,S129,1,121.38669,31.31508,121.389198,31.310402,237,327,27,27
E1535,B1284,S129,1,121.38669,31.31508,121.392387,31.315825,237,327,27,83
E1538,B5414,S129,1,121.38669,31.31508,121.385361,31.319721,265,355,27,27
E1541,B2100,S130,2,121.3868,31.31548,121.38887,31.316866,495,585,27,27
E1544,B0246,S131,1,121.3868,31.31556,121.386459,31.311884,255,345,27,27
E1547,B5534,S131,1,121.3868,31.31556,121.24929,31.379934,328,418,27,12
E1550,B8714,S131,1,121.3868,31.31556,121.386475,31.314816,219,309,27,27
E1553,B2100,S132,1,121.38682,31.31567,121.38887,31.316866,257,347,27,27
E1559,B8714,S133,1,121.38688,31.31525,121.386475,31.314816,248,338,27,27
E1562,B3807,S134,3,121.3869,31.31509,121.377289,31.315683,249,339,27,29
E1565,B1284,S135,2,121.38703,31.31491,121.392387,31.315825,279,369,27,83
E1568,B2100,S135,3,121.38703,31.31491,121.38887,31.316866,607,697,27,27
E1571,B7250,S135,4,121.38703,31.31491,121.380165,31.314489,575,665,27,27
E1574,B8714,S135,3,121.38703,31.31491,121.386475,31.314816,277,367,27,27
E1577,B6444,S136,4,121.3873,31.24088,121.374069,31.23822,540,630,69,69
E1580,B4873,S137,1,121.38791,31.31315,121.382401,31.310419,325,415,27,27
E1583,B2277,S139,2,121.39076,31.02598,121.391479,31.024113,553,643,21,21
E1586,B0813,S140,3,121.39182,31.02617,121.394096,31.029692,276,366,21,37
E1589,B0246,S141,1,121.39191,31.31543,121.386459,31.311884,617,707,83,27
E1592,B8714,S141,1,121.39191,31.31543,121.386475,31.314816,599,689,83,27
E1595,B3198,S142,1,121.39196,31.24273,121.392418,31.242964,382,472,69,69
E1598,B3198,S142,1,121.39196,31.24273,121.392418,31.242964,549,639,69,69
E1604,B2277,S143,7,121.39203,31.02599,121.391479,31.024113,627,717,21,21
E1607,B5905,S143,2,121.39203,31.02599,121.393478,31.024921,416,506,21,21
E1610,B8844,S143,2,121.39203,31.02599,121.39653,31.025841,577,667,21,37
E1613,B5385,S145,1,121.39269,31.23995,121.390381,31.239904,402,492,69,69
E1616,B5905,S146,1,121.39313,31.02568,121.393478,31.024921,251,341,21,21
E1619,B5026,S148,1,121.39488,31.17669,121.39167,31.176065,383,473,63,63
E1622,B3836,S150,6,121.39549,31.17342,121.413635,31.249926,594,684,52,81
E1625,B1600,S152,8,121.39623,31.22315,121.409691,31.229528,225,315,45,45
E1628,B0291,S152,13,121.39623,31.22315,121.472488,31.233086,591,681,45,98
E1631,B0369,S152,14,121.39623,31.22315,121.404106,31.213856,454,544,45,45
E1634,B7235,S152,12,121.39623,31.22315,121.393364,31.224333,350,440,45,45
E1640,B3478,S153,6,121.39683,31.2143,121.393501,31.212091,244,334,45,63
E1643,B0827,S153,1,121.39683,31.2143,121.391876,31.210011,305,395,45,63
E1646,B5438,S154,2,121.39698,31.21457,121.385941,31.216314,427,517,45,85
E1649,B5220,S155,2,121.39755,31.12263,121.388672,31.122461,278,368,90,90
E1652,B7522,S156,1,121.39764,31.2148,121.405228,31.216084,213,303,45,45
E1655,B4046,S157,1,121.39894,31.23008,121.407043,31.229284,264,354,45,45
E1661,B5645,S158,3,121.39933,31.15972,121.395172,31.154253,279,369,24,90
E1664,B8974,S160,1,121.39957,31.16008,121.407806,31.172575,589,679,24,24
E1667,B7015,S162,2,121.39995,31.15749,121.393997,31.166761,319,409,90,52
E1670,B4716,S164,2,121.40141,31.24825,121.397522,31.258545,539,629,81,101
E1673,B8744,S164,4,121.40141,31.24825,121.398521,31.246498,440,530,81,45
E1676,B1275,S165,14,121.40206,31.23149,121.385338,31.237413,538,628,45,69
E1682,B1602,S165,11,121.40206,31.23149,121.411148,31.227022,624,714,45,45
E1685,B2546,S165,7,121.40206,31.23149,121.401039,31.233717,624,714,45,45
E1688,B3243,S165,2,121.40206,31.23149,121.391968,31.230484,527,617,45,69
E1691,B0348,S165,3,121.40206,31.23149,121.398956,31.229559,574,664,45,45
E1694,B4046,S165,16,121.40206,31.23149,121.407043,31.229284,214,304,45,45
E1697,B4544,S165,8,121.40206,31.23149,121.390564,31.234108,255,345,45,69
E1700,B5171,S165,2,121.40206,31.23149,121.404182,31.243086,408,498,45,45
E1703,B7768,S165,2,121.40206,31.23149,121.2873,30.695353,576,666,45,61
E1706,B7826,S165,1,121.40206,31.23149,121.403183,31.232286,446,536,45,45
E1709,B6710,S166,1,121.40215,31.20993,121.420021,31.218647,321,411,63,3
E1712,B1402,S168,2,121.40445,31.20608,121.399902,31.202211,341,431,63,63
E1715,B5488,S168,2,121.40445,31.20608,120.910721,31.019789,285,375,63,77
E1718,B3104,S170,10,121.40574,31.16138,121.402458,31.15209,274,364,24,90
E1724,B4808,S172,1,121.40781,31.23153,121.40345,31.228634,325,415,45,45
E1727,B4133,S173,1,121.40811,31.21319,121.402596,31.210678,365,455,45,63
E1733,B2339,S174,9,121.40843,31.18371,121.393333,31.194332,273,363,63,63
E1736,B3925,S174,14,121.40843,31.18371,121.395973,31.187878,210,300,63,63
E1739,B4795,S174,18,121.40843,31.18371,121.392502,31.181524,594,684,63,85
E1742,B6051,S174,17,121.40843,31.18371,121.387886,31.186798,270,360,63,85
E1745,B7890,S174,14,121.40843,31.18371,121.425659,31.183657,213,303,63,24
